Date,low,high,open,close,volume
2020-12-31,717.1,750.0,737.89,730.99,198060.44209411
2021-01-01,715.22,789.21,730.97,775.3,368899.31941969
2021-01-02,770.0,1015.14,775.29,980.44,858743.81908511
2021-01-03,886.33,1168.99,980.44,1042.38,1103882.9026854
2021-01-04,975.0,1136.93,1042.24,1103.73,858495.88816745
2021-01-05,1058.32,1215.98,1103.71,1212.02,821084.91284462
2021-01-06,1140.0,1291.94,1212.68,1227.34,661416.03292889
2021-01-07,1063.18,1275.0,1227.55,1217.35,781425.78426996
2021-01-08,1172.86,1310.0,1217.31,1281.45,434123.02634182
2021-01-09,1153.0,1350.88,1281.25,1255.13,670103.5931583
2021-01-10,905.0,1260.24,1255.1,1088.79,1556217.07756248
2021-01-11,1006.83,1150.0,1088.55,1049.79,656376.70350396
2021-01-12,980.0,1137.75,1050.46,1130.8,504920.57439418
2021-01-13,1087.05,1246.99,1130.79,1231.32,438467.28987015
2021-01-14,1065.0,1255.59,1231.59,1168.1,578841.8829192
2021-01-15,1152.3,1294.0,1169.04,1227.14,422140.39314774
2021-01-16,1165.78,1268.83,1227.76,1232.99,295103.60231119
2021-01-17,1181.9,1261.0,1232.6,1258.48,287749.94730348
2021-01-18,1252.01,1440.0,1258.55,1368.04,709702.99933138
2021-01-19,1234.01,1408.5,1367.7,1376.88,596370.07168489
2021-01-20,1081.0,1390.0,1377.15,1110.62,789194.34468025
2021-01-21,1039.62,1275.99,1110.61,1233.6,758560.99547401
2021-01-22,1196.74,1272.0,1233.42,1234.55,269855.02080844
2021-01-23,1221.66,1401.92,1234.47,1394.0,434746.40508943
2021-01-24,1293.65,1477.3,1394.04,1317.97,627535.52793717
2021-01-25,1245.0,1378.12,1317.98,1367.98,484756.90659865
2021-01-26,1206.05,1375.91,1367.97,1240.96,546037.67685749
2021-01-27,1220.08,1363.27,1240.62,1333.19,361803.16655087
2021-01-28,1286.56,1442.88,1333.61,1379.87,629545.82992845
2021-01-29,1327.0,1408.97,1380.04,1380.0,283799.50273321
2021-01-30,1283.0,1382.0,1380.0,1313.94,216853.04918505
2021-01-31,1271.31,1378.02,1313.95,1374.6,282549.58638538
2021-02-01,1360.27,1549.0,1374.55,1513.67,596570.35740844
2021-02-02,1509.48,1672.21,1513.85,1668.72,492422.63736011
2021-02-03,1556.0,1699.0,1668.71,1597.55,531943.12791716
2021-02-04,1589.17,1763.93,1597.34,1721.06,414535.83691975
2021-02-05,1646.7,1745.25,1721.06,1679.77,330440.89591973
2021-02-06,1493.28,1695.38,1679.76,1615.32,416691.917484
2021-02-07,1565.98,1780.0,1615.51,1752.98,454314.62328634
